ImageNumber,ObjectNumber,Children_FilterObjects1_Count,Children_IdentifyPrimaryObjects2_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,11,1,1,80.56,22.92,0,11
3,12,0,0,28.869565217391305,25.391304347826086,0,12
3,13,1,1,24.25,27.458333333333332,0,13
3,14,1,1,62.125,29.28125,0,14
3,15,1,1,40.476190476190474,34.61904761904762,0,15
3,16,1,1,29.375,36.75,0,16
3,17,1,1,85.4,37.4,0,17
3,18,1,1,10.052631578947368,38.1578947368421,0,18
3,19,1,1,18.6,37.6,0,19
3,20,1,1,25.5625,47.375,0,20
3,21,1,1,91.95,47.85,0,21
3,22,1,1,41.89473684210526,50.421052631578945,0,22
3,23,1,1,66.27272727272727,50.5,0,23
3,24,1,1,13.842105263157896,53.8421052631579,0,24
3,25,1,1,33.0,55.0,0,25
3,26,1,1,24.75,58.95,0,26
3,27,0,0,80.91304347826087,66.6086956521739,0,27
3,28,1,1,28.4,71.9,0,28
3,29,1,1,67.5,71.5,0,29
3,30,0,0,56.166666666666664,72.66666666666667,0,30
3,31,1,1,44.38095238095238,74.80952380952381,0,31
3,32,1,1,51.25925925925926,75.33333333333333,0,32
3,33,1,1,6.16,78.64,0,33
3,34,1,1,90.51515151515152,78.39393939393939,0,34
3,35,1,1,36.88235294117647,80.41176470588235,0,35
3,36,1,1,51.55,87.35,0,36
3,37,1,1,58.0,87.38461538461539,0,37
3,38,1,1,32.25,88.5625,0,38
3,39,1,1,92.0,92.5,0,39
4,1,0,0,28.17391304347826,7.478260869565218,0,1
4,2,1,1,55.285714285714285,7.678571428571429,0,2
4,3,1,1,81.85714285714286,9.80952380952381,0,3
4,4,0,0,23.11764705882353,12.411764705882353,0,4
4,5,1,1,40.92,13.56,0,5
4,6,1,1,14.80952380952381,18.952380952380953,0,6
4,7,1,1,71.6086956521739,21.217391304347824,0,7
4,8,0,0,55.275862068965516,23.344827586206897,0,8
4,9,0,0,91.2,27.32,0,9
4,10,0,0,30.75,28.05,0,10
4,11,1,1,81.0,31.5,0,11
4,12,1,1,40.77272727272727,33.36363636363637,0,12
4,13,0,0,71.0,34.0,0,13
4,14,1,1,56.42857142857143,35.57142857142857,0,14
4,15,0,0,26.076923076923077,42.23076923076923,0,15
4,16,1,1,32.53333333333333,44.6,0,16
4,17,0,0,50.88235294117647,45.411764705882355,0,17
4,18,0,0,76.75,45.625,0,18
4,19,1,1,62.22222222222222,47.5,0,19
4,20,0,0,27.875,51.125,0,20
4,21,0,0,14.592592592592593,52.925925925925924,0,21
4,22,0,0,9.833333333333334,54.916666666666664,0,22
4,23,1,1,89.0,55.0,0,23
4,24,1,1,72.47058823529412,56.35294117647059,0,24
4,25,0,0,64.0,58.5,0,25
4,26,0,0,52.31707317073171,62.78048780487805,0,26
4,27,1,1,54.3,66.7,0,27
4,28,1,1,27.470588235294116,65.6470588235294,0,28
4,29,0,0,81.61538461538461,67.61538461538461,0,29
4,30,0,0,50.45454545454545,71.36363636363636,0,30
4,31,1,1,33.5,73.77777777777777,0,31
4,32,1,1,68.9090909090909,76.0909090909091,0,32
4,33,1,1,9.958333333333334,78.125,0,33
4,34,1,1,20.88235294117647,82.58823529411765,0,34
4,35,0,0,38.63636363636363,83.0909090909091,0,35
4,36,0,0,62.166666666666664,82.72222222222223,0,36
4,37,1,1,51.285714285714285,84.28571428571429,0,37
4,38,0,0,69.0,88.33333333333333,0,38
4,39,1,1,20.58823529411765,91.88235294117646,0,39
4,40,1,1,37.57142857142857,92.57142857142857,0,40
4,41,0,0,49.875,93.125,0,41
5,1,1,1,7.5,6.0,0,1
5,2,0,0,29.6,6.4,0,2
5,3,0,0,41.17391304347826,10.695652173913043,0,3
5,4,1,1,18.523809523809526,12.047619047619047,0,4
5,5,1,1,13.5,14.0,0,5
5,6,1,1,67.3529411764706,13.529411764705882,0,6
5,7,1,1,6.181818181818182,20.0,0,7
5,8,1,1,22.5,19.5,0,8
5,9,1,1,36.529411764705884,22.647058823529413,0,9
5,10,0,0,75.08333333333333,23.666666666666668,0,10
5,11,1,1,52.21739130434783,24.695652173913043,0,11
5,12,1,1,88.6086956521739,25.52173913043478,0,12
5,13,1,1,12.61111111111111,27.833333333333332,0,13
5,14,1,1,20.842105263157894,29.842105263157894,0,14
5,15,1,1,34.19047619047619,35.04761904761905,0,15
5,16,1,1,61.96153846153846,35.26923076923077,0,16
5,17,1,1,9.0,38.666666666666664,0,17
5,18,0,0,17.09090909090909,39.36363636363637,0,18
5,19,1,1,46.1,40.05,0,19
5,20,1,1,80.42857142857143,41.904761904761905,0,20
5,21,0,0,67.6,48.6,0,21
5,22,1,1,20.272727272727273,53.13636363636363,0,22
5,23,1,1,83.75,52.95,0,23
5,24,0,0,47.9,55.43333333333333,0,24
5,25,1,1,10.411764705882353,57.11764705882353,0,25
5,26,1,1,48.48,62.64,0,26
5,27,1,1,16.842105263157894,67.73684210526316,0,27
5,28,1,1,39.0,68.5,0,28
5,29,1,1,58.5,69.22222222222223,0,29
5,30,0,0,75.26315789473684,69.84210526315789,0,30
5,31,1,1,28.473684210526315,71.36842105263158,0,31
5,32,1,1,72.12121212121212,72.9090909090909,0,32
5,33,1,1,51.38461538461539,77.38461538461539,0,33
5,34,0,0,82.88888888888889,78.66666666666667,0,34
5,35,1,1,19.272727272727273,79.86363636363636,0,35
5,36,1,1,44.05,82.1,0,36
5,37,1,1,33.0,83.0,0,37
5,38,1,1,80.16666666666667,83.76666666666667,0,38
5,39,1,1,10.0,86.21052631578948,0,39
5,40,1,1,58.23076923076923,86.07692307692308,0,40
5,41,1,1,70.33333333333333,89.0,0,41
5,42,1,1,33.111111111111114,92.27777777777777,0,42
5,43,1,1,43.77777777777778,91.5,0,43
6,1,1,1,33.30769230769231,6.0,0,1
6,2,1,1,10.090909090909092,8.045454545454545,0,2
6,3,1,1,14.708333333333334,9.583333333333334,0,3
6,4,1,1,6.111111111111111,11.333333333333334,0,4
6,5,1,1,48.12,11.44,0,5
6,6,1,1,64.30434782608695,12.695652173913043,0,6
6,7,1,1,82.19047619047619,13.238095238095237,0,7
6,8,0,0,37.5,14.0,0,8
6,9,1,1,27.88,16.0,0,9
6,10,0,0,76.36363636363636,19.636363636363637,0,10
6,11,1,1,53.0,23.5,0,11
6,12,1,1,19.157894736842106,25.157894736842106,0,12
6,13,1,1,38.7,25.4,0,13
6,14,0,0,71.76923076923077,27.846153846153847,0,14
6,15,1,1,60.611111111111114,28.666666666666668,0,15
6,16,1,1,84.3157894736842,28.842105263157894,0,16
6,17,0,0,6.529411764705882,29.647058823529413,0,17
6,18,1,1,33.09090909090909,36.09090909090909,0,18
6,19,0,0,54.5,36.5,0,19
6,20,1,1,66.5,38.5,0,20
6,21,1,1,78.89473684210526,38.421052631578945,0,21
6,22,1,1,4.846153846153846,39.0,0,22
6,23,0,0,90.88888888888889,40.03703703703704,0,23
6,24,1,1,39.666666666666664,45.0,0,24
6,25,1,1,13.384615384615385,47.0,0,25
6,26,1,1,74.84210526315789,48.8421052631579,0,26
6,27,0,0,54.5,51.22222222222222,0,27
6,28,1,1,39.5,55.5,0,28
6,29,1,1,87.19047619047619,60.95238095238095,0,29
6,30,0,0,25.275862068965516,62.41379310344828,0,30
6,31,0,0,73.0,63.526315789473685,0,31
6,32,1,1,47.0,65.5,0,32
6,33,1,1,59.89473684210526,70.57894736842105,0,33
6,34,0,0,35.13333333333333,72.46666666666667,0,34
6,35,1,1,84.55,74.15,0,35
6,36,1,1,47.5,77.0,0,36
6,37,0,0,75.375,78.90625,0,37
6,38,0,0,86.68,78.68,0,38
6,39,0,0,31.5,80.2,0,39
6,40,1,1,15.5,81.5,0,40
6,41,1,1,53.42857142857143,83.28571428571429,0,41
6,42,0,0,33.095238095238095,85.57142857142857,0,42
6,43,1,1,87.61538461538461,86.61538461538461,0,43
6,44,1,1,16.5,93.2,0,44
6,45,0,0,53.5,93.0,0,45
7,1,0,0,67.17241379310344,7.655172413793103,0,1
7,2,0,0,71.57142857142857,8.642857142857142,0,2
7,3,1,1,13.75,11.25,0,3
7,4,0,0,68.125,12.125,0,4
7,5,0,0,71.8,12.3,0,5
7,6,1,1,87.0,12.0,0,6
7,7,1,1,21.6,15.6,0,7
7,8,1,1,56.76923076923077,14.346153846153847,0,8
7,9,1,1,31.653846153846153,21.576923076923077,0,9
7,10,0,0,46.77272727272727,28.863636363636363,0,10
7,11,0,0,70.5,29.285714285714285,0,11
7,12,1,1,60.95,31.1,0,12
7,13,1,1,88.63157894736842,33.0,0,13
7,14,1,1,8.5,33.5,0,14
7,15,0,0,70.33333333333333,36.733333333333334,0,15
7,16,1,1,19.105263157894736,37.421052631578945,0,16
7,17,1,1,60.411764705882355,39.88235294117647,0,17
7,18,1,1,28.0,41.5,0,18
7,19,1,1,6.125,42.5,0,19
7,20,0,0,51.5,50.0,0,20
7,21,0,0,74.0,50.0,0,21
7,22,0,0,10.088888888888889,50.51111111111111,0,22
7,23,1,1,22.2,53.5,0,23
7,24,0,0,37.892857142857146,53.92857142857143,0,24
7,25,1,1,86.10526315789474,58.421052631578945,0,25
7,26,1,1,66.0,63.38095238095238,0,26
7,27,0,0,14.333333333333334,64.88888888888889,0,27
7,28,1,1,45.225806451612904,69.12903225806451,0,28
7,29,1,1,80.42105263157895,68.89473684210526,0,29
7,30,1,1,9.19047619047619,74.04761904761905,0,30
7,31,1,1,21.41176470588235,74.88235294117646,0,31
7,32,1,1,60.10344827586207,76.17241379310344,0,32
7,33,1,1,46.63157894736842,81.73684210526316,0,33
7,34,0,0,88.0,84.5,0,34
7,35,1,1,74.07692307692308,84.82051282051282,0,35
7,36,1,1,50.61904761904762,91.57142857142857,0,36
7,37,1,1,65.43478260869566,91.6086956521739,0,37
8,1,1,1,52.5,6.285714285714286,0,1
8,2,1,1,12.625,6.75,0,2
8,3,1,1,61.95,11.9,0,3
8,4,0,0,42.8421052631579,13.736842105263158,0,4
8,5,1,1,54.111111111111114,14.666666666666666,0,5
8,6,0,0,77.0,13.666666666666666,0,6
8,7,1,1,26.157894736842106,14.157894736842104,0,7
8,8,0,0,42.5,17.857142857142858,0,8
8,9,1,1,88.44444444444444,17.5,0,9
8,10,1,1,12.61111111111111,18.77777777777778,0,10
8,11,0,0,78.83333333333333,25.77777777777778,0,11
8,12,1,1,34.04761904761905,27.19047619047619,0,12
8,13,1,1,13.296296296296296,26.925925925925927,0,13
8,14,1,1,24.466666666666665,28.133333333333333,0,14
8,15,0,0,54.125,28.59375,0,15
8,16,1,1,92.15384615384616,29.0,0,16
8,17,1,1,69.9,32.05,0,17
8,18,1,1,43.5,36.5,0,18
8,19,1,1,92.0909090909091,38.36363636363637,0,19
8,20,1,1,14.571428571428571,46.38095238095238,0,20
8,21,0,0,77.23333333333333,45.233333333333334,0,21
8,22,1,1,38.0,47.5,0,22
8,23,0,0,66.6,48.56,0,23
8,24,1,1,25.703703703703702,49.7037037037037,0,24
8,25,1,1,92.5,51.5,0,25
