ImageNumber,ObjectNumber,Children_DilateObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects1
1,1,1,14.807692307692308,6.846153846153846,0,1,1
1,2,1,59.3,6.7,0,2,2
1,3,1,52.65384615384615,14.653846153846153,0,3,3
1,4,1,86.29629629629629,14.555555555555555,0,4,4
1,5,1,14.125,18.125,0,5,5
1,6,1,44.38461538461539,20.53846153846154,0,6,6
1,7,1,34.0,20.5,0,7,7
1,8,1,73.0,21.0,0,8,8
1,9,1,27.5,25.0,0,9,9
1,10,1,8.0,26.333333333333332,0,10,10
1,11,1,89.18518518518519,25.814814814814813,0,11,11
1,12,1,18.41176470588235,26.88235294117647,0,12,12
1,13,1,50.166666666666664,26.416666666666668,0,13,13
1,14,1,57.5,34.5,0,14,14
1,15,1,16.5,37.63636363636363,0,15,15
1,16,1,46.2,37.44,0,16,16
1,17,1,88.3076923076923,36.84615384615385,0,17,17
1,18,1,70.07692307692308,40.69230769230769,0,18,18
1,19,1,36.111111111111114,41.55555555555556,0,19,19
1,20,1,90.28571428571429,41.714285714285715,0,20,20
1,21,1,25.608695652173914,43.78260869565217,0,21,21
1,22,1,69.26666666666667,44.666666666666664,0,22,22
1,23,1,33.916666666666664,45.666666666666664,0,23,23
1,24,1,12.933333333333334,47.53333333333333,0,24,24
1,25,1,58.0,54.0,0,25,25
1,26,1,70.41666666666667,55.041666666666664,0,26,26
1,27,1,90.3529411764706,55.35294117647059,0,27,27
1,28,1,79.82758620689656,60.6551724137931,0,28,28
1,29,1,92.625,60.625,0,29,29
1,30,1,20.772727272727273,62.81818181818182,0,30,30
1,31,1,13.5,67.0,0,31,31
1,32,1,58.95,66.25,0,32,32
1,33,1,30.0,68.65384615384616,0,33,33
1,34,1,48.526315789473685,71.36842105263158,0,34,34
1,35,1,71.9,72.1,0,35,35
1,36,1,91.94736842105263,72.63157894736842,0,36,36
1,37,1,81.0,75.0,0,37,37
1,38,1,23.75,78.05,0,38,38
1,39,1,37.608695652173914,78.08695652173913,0,39,39
1,40,1,54.523809523809526,81.52380952380952,0,40,40
1,41,1,75.05,82.1,0,41,41
1,42,1,31.27777777777778,85.66666666666667,0,42,42
1,43,1,37.25,89.05,0,43,43
1,44,1,14.0,90.0,0,44,44
2,1,1,44.61538461538461,7.615384615384615,0,1,1
2,2,1,66.08695652173913,8.347826086956522,0,2,2
2,3,1,21.14814814814815,9.222222222222221,0,3,3
2,4,1,34.11764705882353,11.588235294117647,0,4,4
2,5,1,51.65384615384615,11.807692307692308,0,5,5
2,6,1,5.846153846153846,14.0,0,6,6
2,7,1,72.88888888888889,18.333333333333332,0,7,7
2,8,1,21.636363636363637,22.454545454545453,0,8,8
2,9,1,41.62068965517241,22.137931034482758,0,9,9
2,10,1,53.515151515151516,24.393939393939394,0,10,10
2,11,1,7.818181818181818,25.227272727272727,0,11,11
2,12,1,80.10526315789474,24.42105263157895,0,12,12
2,13,1,32.21739130434783,28.608695652173914,0,13,13
2,14,1,68.07692307692308,28.692307692307693,0,14,14
2,15,1,47.65384615384615,33.88461538461539,0,15,15
2,16,1,85.0,33.733333333333334,0,16,16
2,17,1,18.766666666666666,35.56666666666667,0,17,17
2,18,1,55.95238095238095,37.19047619047619,0,18,18
2,19,1,72.5,40.5,0,19,19
2,20,1,51.61538461538461,42.38461538461539,0,20,20
2,21,1,61.96,48.4,0,21,21
2,22,1,12.551724137931034,49.06896551724138,0,22,22
2,23,1,74.90625,51.5,0,23,23
2,24,1,11.0,53.333333333333336,0,24,24
2,25,1,78.0,63.5,0,25,25
2,26,1,40.29032258064516,64.0,0,26,26
2,27,1,24.727272727272727,65.9090909090909,0,27,27
2,28,1,87.0,68.5,0,28,28
2,29,1,57.629629629629626,73.51851851851852,0,29,29
2,30,1,17.15625,74.625,0,30,30
2,31,1,72.76470588235294,78.29411764705883,0,31,31
2,32,1,92.5,77.5,0,32,32
2,33,1,54.74193548387097,85.6774193548387,0,33,33
2,34,1,39.125,84.875,0,34,34
2,35,1,85.24,85.2,0,35,35
2,36,1,69.51724137931035,87.44827586206897,0,36,36
2,37,1,44.588235294117645,86.52941176470588,0,37,37
2,38,1,20.61904761904762,91.66666666666667,0,38,38
3,1,1,34.4,5.8,0,1,1
3,2,1,55.0,5.846153846153846,0,2,2
3,3,1,10.172413793103448,7.517241379310345,0,3,3
3,4,1,84.125,8.125,0,4,4
3,5,1,6.266666666666667,11.933333333333334,0,5,5
3,6,1,46.22727272727273,10.590909090909092,0,6,6
3,7,1,41.59090909090909,11.227272727272727,0,7,7
3,8,1,21.17391304347826,12.565217391304348,0,8,8
3,9,1,36.6,13.48,0,9,9
3,10,1,73.70967741935483,14.0,0,10,10
3,11,1,12.41025641025641,18.358974358974358,0,11,11
3,12,1,42.926829268292686,22.78048780487805,0,12,12
3,13,1,81.725,23.5,0,13,13
3,14,1,30.0,24.5,0,14,14
3,15,1,25.4,27.45,0,15,15
3,16,1,63.06349206349206,29.6984126984127,0,16,16
3,17,1,41.6,34.628571428571426,0,17,17
3,18,1,19.615384615384617,37.38461538461539,0,18,18
3,19,1,30.0,36.86363636363637,0,19,19
3,20,1,86.5,37.5,0,20,20
3,21,1,11.0,38.13636363636363,0,21,21
3,22,1,26.666666666666668,47.125,0,22,22
3,23,1,92.26086956521739,48.21739130434783,0,23,23
3,24,1,41.3,51.1,0,24,24
3,25,1,67.5,50.5,0,25,25
3,26,1,14.692307692307692,53.96153846153846,0,26,26
3,27,1,34.111111111111114,54.888888888888886,0,27,27
3,28,1,25.95,58.75,0,28,28
3,29,1,81.8,66.44,0,29,29
3,30,1,29.096774193548388,72.09677419354838,0,30,30
3,31,1,68.34615384615384,71.65384615384616,0,31,31
3,32,1,57.26315789473684,72.26315789473684,0,32,32
3,33,1,44.46666666666667,74.33333333333333,0,33,33
3,34,1,52.53846153846154,75.26923076923077,0,34,34
3,35,1,90.5,78.5,0,35,35
3,36,1,7.785714285714286,78.89285714285714,0,36,36
