ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilterObjects1
1,1,13.729166666666666,6.895833333333333,0,1,1
1,2,58.214285714285715,6.5,0,2,2
1,3,28.0,14.136363636363637,0,3,3
1,4,51.60606060606061,14.515151515151516,0,4,4
1,5,85.5,14.5,0,5,5
1,6,13.166666666666666,18.2,0,6,6
1,7,33.3,20.5,0,7,7
1,8,72.26315789473684,21.605263157894736,0,8,8
1,9,26.612903225806452,25.0,0,9,9
1,10,7.277777777777778,26.22222222222222,0,10,10
1,11,48.82608695652174,26.0,0,11,11
1,12,88.0,26.0,0,12,12
1,13,17.5,26.705882352941178,0,13,13
1,14,57.26315789473684,34.44736842105263,0,14,14
1,15,15.294117647058824,37.5,0,15,15
1,16,45.15151515151515,37.515151515151516,0,16,16
1,17,86.78947368421052,36.21052631578947,0,17,17
1,18,89.25581395348837,41.53488372093023,0,18,18
1,19,24.366666666666667,43.63333333333333,0,19,19
1,20,68.4888888888889,43.17777777777778,0,20,20
1,21,57.0,54.0,0,21,21
1,22,69.375,54.84375,0,22,22
1,23,89.24324324324324,55.270270270270274,0,23,23
1,24,79.0,60.5,0,24,24
1,25,92.42307692307692,61.73076923076923,0,25,25
1,26,19.694444444444443,63.02777777777778,0,26,26
1,27,58.13513513513514,66.29729729729729,0,27,27
1,28,12.714285714285714,67.17142857142858,0,28,28
1,29,29.083333333333332,68.97222222222223,0,29,29
1,30,47.5,71.29411764705883,0,30,30
1,31,70.80645161290323,72.09677419354838,0,31,31
1,32,91.0,72.0,0,32,32
1,33,80.26470588235294,75.0,0,33,33
1,34,22.694444444444443,78.02777777777777,0,34,34
1,35,36.63333333333333,78.36666666666666,0,35,35
1,36,53.41025641025641,81.25641025641026,0,36,36
1,37,74.0,82.0,0,37,37
1,38,30.40740740740741,85.44444444444444,0,38,38
1,39,36.02777777777778,88.69444444444444,0,39,39
2,1,59.55172413793103,6.620689655172414,0,1,1
2,2,43.60606060606061,7.515151515151516,0,2,2
2,3,65.35,8.225,0,3,3
2,4,19.97222222222222,9.083333333333334,0,4,4
2,5,32.861111111111114,11.61111111111111,0,5,5
2,6,50.8421052631579,12.157894736842104,0,6,6
2,7,4.875,13.666666666666666,0,7,7
2,8,71.34615384615384,18.653846153846153,0,8,8
